Flat profile:

Each sample counts as 0.01 seconds.
  %   cumulative   self              self     total           
 time   seconds   seconds    calls   s/call   s/call  name    
  0.00      2.48     0.00        8     0.00     0.00  std::allocator_traits<std::allocator<HashMap<int>::Entry> >::max_size(std::allocator<HashMap<int>::Entry> const&)
  0.00      2.48     0.00        8     0.00     0.00  std::vector<HashMap<int>::Entry, std::allocator<HashMap<int>::Entry> >::_S_max_size(std::allocator<HashMap<int>::Entry> const&)
  0.00      2.48     0.00        8     0.00     0.00  void std::vector<int, std::allocator<int> >::_M_realloc_insert<int const&>(__gnu_cxx::__normal_iterator<int*, std::vector<int, std::allocator<int> > >, int const&)
  0.00      2.48     0.00        7     0.00     0.00  void std::vector<int, std::allocator<int> >::_M_realloc_insert<int>(__gnu_cxx::__normal_iterator<int*, std::vector<int, std::allocator<int> > >, int&&)
  0.00      2.48     0.00        6     0.00     0.00  __gnu_cxx::__normal_iterator<HashMap<int>::Entry const*, std::vector<HashMap<int>::Entry, std::allocator<HashMap<int>::Entry> > >::__normal_iterator(HashMap<int>::Entry const* const&)
  0.00      2.48     0.00        6     0.00     0.00  std::_Vector_base<HashMap<int>::Entry, std::allocator<HashMap<int>::Entry> >::_M_get_Tp_allocator()
  0.00      2.48     0.00        6     0.00     0.00  std::_Vector_base<int, std::allocator<int> >::_Vector_impl_data::_M_copy_data(std::_Vector_base<int, std::allocator<int> >::_Vector_impl_data const&)
  0.00      2.48     0.00        6     0.00     0.00  std::_Vector_base<int, std::allocator<int> >::_Vector_impl_data::_Vector_impl_data()
  0.00      2.48     0.00        6     0.00     0.00  HashMap<int>::Entry* std::__niter_base<HashMap<int>::Entry*>(HashMap<int>::Entry*)
  0.00      2.48     0.00        5     0.00     0.00  __gnu_cxx::new_allocator<int>::~new_allocator()
  0.00      2.48     0.00        5     0.00     0.00  std::allocator<int>::~allocator()
  0.00      2.48     0.00        4     0.00     0.61  ball_experiment_run(unsigned long, unsigned long, unsigned long, void (*)(std::vector<unsigned long, std::allocator<unsigned long> >&, unsigned long))
  0.00      2.48     0.00        4     0.00     0.00  void std::_Destroy_aux<true>::__destroy<int*>(int*, int*)
  0.00      2.48     0.00        4     0.00     0.00  std::_Vector_base<HashMap<int>::Entry, std::allocator<HashMap<int>::Entry> >::_M_deallocate(HashMap<int>::Entry*, unsigned long)
  0.00      2.48     0.00        4     0.00     0.00  std::_Vector_base<int, std::allocator<int> >::_Vector_impl::~_Vector_impl()
  0.00      2.48     0.00        4     0.00     0.00  std::_Vector_base<int, std::allocator<int> >::~_Vector_base()
  0.00      2.48     0.00        4     0.00     0.00  std::vector<int, std::allocator<int> >::~vector()
  0.00      2.48     0.00        4     0.00     0.00  void std::_Destroy<int*>(int*, int*)
  0.00      2.48     0.00        4     0.00     0.00  void std::_Destroy<int*, int>(int*, int*, std::allocator<int>&)
  0.00      2.48     0.00        3     0.00     0.00  __gnu_cxx::new_allocator<int>::new_allocator()
  0.00      2.48     0.00        3     0.00     0.00  HashMap<int>::getSize() const
  0.00      2.48     0.00        3     0.00     0.00  HashMap<int>::get_all() const
  0.00      2.48     0.00        3     0.00     0.00  std::vector<HashMap<int>::Entry, std::allocator<HashMap<int>::Entry> >::end() const
  0.00      2.48     0.00        3     0.00     0.00  std::vector<HashMap<int>::Entry, std::allocator<HashMap<int>::Entry> >::begin() const
  0.00      2.48     0.00        3     0.00     0.00  std::allocator<int>::allocator()
  0.00      2.48     0.00        3     0.00     0.00  std::_Vector_base<int, std::allocator<int> >::_Vector_impl::_Vector_impl()
  0.00      2.48     0.00        3     0.00     0.00  std::_Vector_base<int, std::allocator<int> >::_Vector_base()
  0.00      2.48     0.00        3     0.00     0.00  std::vector<int, std::allocator<int> >::vector()
  0.00      2.48     0.00        2     0.00     0.00  HashMap<int>::HashMap(unsigned long)
  0.00      2.48     0.00        2     0.00     0.00  HashMap<int>::~HashMap()
  0.00      2.48     0.00        2     0.00     0.00  __gnu_cxx::new_allocator<HashMap<int>::Entry>::deallocate(HashMap<int>::Entry*, unsigned long)
  0.00      2.48     0.00        2     0.00     0.00  __gnu_cxx::new_allocator<HashMap<int>::Entry>::allocate(unsigned long, void const*)
  0.00      2.48     0.00        2     0.00     0.00  __gnu_cxx::new_allocator<HashMap<int>::Entry>::new_allocator()
  0.00      2.48     0.00        2     0.00     0.00  __gnu_cxx::new_allocator<HashMap<int>::Entry>::~new_allocator()
  0.00      2.48     0.00        2     0.00     0.00  __gnu_cxx::new_allocator<int>::new_allocator(__gnu_cxx::new_allocator<int> const&)
  0.00      2.48     0.00        2     0.00     0.00  std::vector<HashMap<int>::Entry, std::allocator<HashMap<int>::Entry> >::_M_check_len(unsigned long, char const*) const
  0.00      2.48     0.00        2     0.00     0.00  std::allocator<HashMap<int>::Entry>::allocator()
  0.00      2.48     0.00        2     0.00     0.00  std::allocator<HashMap<int>::Entry>::~allocator()
  0.00      2.48     0.00        2     0.00     0.00  std::allocator<int>::allocator(std::allocator<int> const&)
  0.00      2.48     0.00        2     0.00     0.00  void std::_Destroy_aux<true>::__destroy<HashMap<int>::Entry*>(HashMap<int>::Entry*, HashMap<int>::Entry*)
